(-1, 1)
(1, 2)
(-1, 2)
(-2, -1)
(1, -2)
(2, -1)
(2, 2)
(-2, 2)
(-2, -2)
(2, -2)
(-1, -3)
(-3, 2)
(2, -3)
(3, -2)
(-1, -4)
(3, 3)
(-3, 3)
(-3, -3)
(2, 4)
(-2, 4)
(-3, 4)
(5, 1)
(1, 5)
(-1, 5)
(-5, 1)
(1, -5)
(5, 2)
(2, 5)
(-2, 5)
(-5, -2)
(5, -2)
(4, 4)
(5, 3)
(-3, 5)
(-5, 3)
(5, -3)
(6, 1)
(1, 6)
(-6, 1)
(-6, -1)
(6, 2)
(2, 6)
(-2, 6)
(2, -6)
(-5, -4)
(5, -4)
(6, 3)
(-6, 3)
(-3, -6)
(3, -6)
(-1, 7)
(-5, 5)
(-1, -7)
(7, -1)
(4, 6)
(4, -6)
(6, -4)
(7, 2)
(-2, 7)
(7, 3)
(3, 7)
(-7, 3)
(5, 6)
(-5, -6)
(5, -6)
(8, 1)
(4, 7)
(-4, 7)
(-7, -4)
(1, -8)
(7, -4)
(8, -1)
(-2, 8)
(-2, -8)
(6, 6)
(-6, -6)
(8, 3)
(-8, 3)
(-5, 7)
(-7, 5)
(-5, -7)
(8, 4)
(-8, 4)
(-4, -8)
(4, -8)
(9, 1)
(-9, 1)
(-9, -1)
(2, 9)
(-6, 7)
(-9, 2)
(-9, -2)
(-7, -6)
(-5, -8)
(5, -8)
(9, 3)
(-9, -3)
(9, -3)
(4, 9)
(-4, 9)
(-9, -4)
(-4, -9)
(-7, -7)
(-8, 6)
(-6, -8)
(1, 10)
(-1, 10)
(-10, 1)
(-1, -10)
(1, -10)
(10, -1)
(-10, 2)
(-2, -10)
(2, -10)
(-5, 9)
(-9, -5)
(-5, -9)
(-10, 3)
(-3, -10)
(10, -3)
(-7, 8)
(-8, 7)
(7, -8)
(8, -7)
(10, 4)
(-10, 4)
(-10, -4)
(4, -10)
(6, 9)
(-6, -9)
(1, 11)
(-1, 11)
(1, -11)
(5, 10)
(2, 11)
(-10, 5)
(-11, 2)
(2, -11)
(11, -2)
(8, 8)
(-8, 8)
(7, 9)
(3, 11)
(-7, 9)
(-9, 7)
(-11, -3)
(-7, -9)
(9, -7)
(6, 10)
(-10, 6)
(11, 4)
(-4, 11)
(-11, -4)
(-4, -11)
(4, -11)
(11, -4)
(1, 12)
(-9, -8)
(5, 11)
(-5, 11)
(-11, 5)
(2, 12)
(-2, 12)
(10, 7)
(7, 10)
(-10, -7)
(7, -10)
(-3, 12)
(3, -12)
(-11, -6)
(4, -12)
(8, 10)
(-10, 8)
(-10, -8)
(-8, -10)
(8, -10)
(10, -8)
(5, 12)
(-5, -12)
(13, 1)
(-7, -11)
(-1, -13)
(13, -1)
(-13, -2)
(-2, -13)
(13, -2)
(-3, -13)
(3, -13)
(12, 6)
(-6, 12)
(-6, -12)
(13, 4)
(8, 11)
(-13, 4)
(-8, -11)
(13, -4)
(-7, 12)
(-12, -7)
(5, 13)
(-5, 13)
(-13, -5)
(5, -13)
(11, 9)
(-9, 11)
(-11, -9)
(6, 13)
(-13, -6)
(-6, -13)
(6, -13)
(12, 8)
(8, 12)
(-8, 12)
(-8, -12)
(8, -12)
(12, -8)
(7, 13)
(-13, 7)
(13, -7)
(10, 11)
(10, -11)
(9, 12)
(-9, 12)
(-12, 9)
(-12, -9)
(13, 8)
(-8, 13)
(-13, 8)
(-8, -13)
(8, -13)
(-12, -10)
(-10, -12)
(10, -12)
(12, -10)
(13, 9)
(11, 12)
(-11, 12)
(11, -12)
(12, -11)
(10, 13)
(-10, 13)
(-13, -10)
(12, 12)
(-12, 12)
(-12, -12)
(12, -12)
(13, 11)
(11, 13)
(-11, 13)
(-13, 11)
(13, -11)
(12, 13)
(-12, -13)
(13, -12)
(-13, 13)
(-13, -13)
(13, -13)
