pravokotnik [sirina = 2, visina = 1] | p = 2 | o = 6
pravokotnik [sirina = 2, visina = 1] | p = 2 | o = 6
pravokotnik [sirina = 1, visina = 5] | p = 5 | o = 12
pravokotnik [sirina = 1, visina = 5] | p = 5 | o = 12
pravokotnik [sirina = 3, visina = 4] | p = 12 | o = 14
pravokotnik [sirina = 3, visina = 4] | p = 12 | o = 14
pravokotnik [sirina = 3, visina = 5] | p = 15 | o = 16
pravokotnik [sirina = 5, visina = 3] | p = 15 | o = 16
pravokotnik [sirina = 1, visina = 8] | p = 8 | o = 18
pravokotnik [sirina = 1, visina = 8] | p = 8 | o = 18
pravokotnik [sirina = 8, visina = 1] | p = 8 | o = 18
pravokotnik [sirina = 3, visina = 6] | p = 18 | o = 18
pravokotnik [sirina = 4, visina = 6] | p = 24 | o = 20
pravokotnik [sirina = 3, visina = 8] | p = 24 | o = 22
pravokotnik [sirina = 10, visina = 1] | p = 10 | o = 22
pravokotnik [sirina = 8, visina = 3] | p = 24 | o = 22
pravokotnik [sirina = 7, visina = 4] | p = 28 | o = 22
pravokotnik [sirina = 6, visina = 5] | p = 30 | o = 22
pravokotnik [sirina = 4, visina = 8] | p = 32 | o = 24
pravokotnik [sirina = 2, visina = 10] | p = 20 | o = 24
pravokotnik [sirina = 11, visina = 1] | p = 11 | o = 24
pravokotnik [sirina = 2, visina = 10] | p = 20 | o = 24
pravokotnik [sirina = 3, visina = 9] | p = 27 | o = 24
pravokotnik [sirina = 10, visina = 2] | p = 20 | o = 24
pravokotnik [sirina = 3, visina = 9] | p = 27 | o = 24
pravokotnik [sirina = 10, visina = 3] | p = 30 | o = 26
pravokotnik [sirina = 12, visina = 1] | p = 12 | o = 26
pravokotnik [sirina = 11, visina = 2] | p = 22 | o = 26
pravokotnik [sirina = 12, visina = 1] | p = 12 | o = 26
pravokotnik [sirina = 2, visina = 11] | p = 22 | o = 26
pravokotnik [sirina = 9, visina = 5] | p = 45 | o = 28
pravokotnik [sirina = 6, visina = 8] | p = 48 | o = 28
pravokotnik [sirina = 12, visina = 2] | p = 24 | o = 28
pravokotnik [sirina = 9, visina = 5] | p = 45 | o = 28
pravokotnik [sirina = 1, visina = 13] | p = 13 | o = 28
pravokotnik [sirina = 9, visina = 5] | p = 45 | o = 28
pravokotnik [sirina = 9, visina = 5] | p = 45 | o = 28
pravokotnik [sirina = 5, visina = 9] | p = 45 | o = 28
pravokotnik [sirina = 7, visina = 8] | p = 56 | o = 30
pravokotnik [sirina = 9, visina = 6] | p = 54 | o = 30
pravokotnik [sirina = 13, visina = 2] | p = 26 | o = 30
pravokotnik [sirina = 13, visina = 2] | p = 26 | o = 30
pravokotnik [sirina = 4, visina = 11] | p = 44 | o = 30
pravokotnik [sirina = 6, visina = 9] | p = 54 | o = 30
pravokotnik [sirina = 14, visina = 1] | p = 14 | o = 30
pravokotnik [sirina = 4, visina = 11] | p = 44 | o = 30
pravokotnik [sirina = 1, visina = 14] | p = 14 | o = 30
pravokotnik [sirina = 7, visina = 8] | p = 56 | o = 30
pravokotnik [sirina = 5, visina = 10] | p = 50 | o = 30
pravokotnik [sirina = 1, visina = 15] | p = 15 | o = 32
pravokotnik [sirina = 4, visina = 12] | p = 48 | o = 32
pravokotnik [sirina = 9, visina = 7] | p = 63 | o = 32
pravokotnik [sirina = 7, visina = 9] | p = 63 | o = 32
pravokotnik [sirina = 1, visina = 15] | p = 15 | o = 32
pravokotnik [sirina = 5, visina = 11] | p = 55 | o = 32
pravokotnik [sirina = 3, visina = 13] | p = 39 | o = 32
pravokotnik [sirina = 11, visina = 6] | p = 66 | o = 34
pravokotnik [sirina = 4, visina = 13] | p = 52 | o = 34
pravokotnik [sirina = 5, visina = 12] | p = 60 | o = 34
pravokotnik [sirina = 12, visina = 5] | p = 60 | o = 34
pravokotnik [sirina = 13, visina = 4] | p = 52 | o = 34
pravokotnik [sirina = 14, visina = 3] | p = 42 | o = 34
pravokotnik [sirina = 2, visina = 15] | p = 30 | o = 34
pravokotnik [sirina = 8, visina = 10] | p = 80 | o = 36
pravokotnik [sirina = 17, visina = 1] | p = 17 | o = 36
pravokotnik [sirina = 8, visina = 10] | p = 80 | o = 36
pravokotnik [sirina = 16, visina = 2] | p = 32 | o = 36
pravokotnik [sirina = 7, visina = 11] | p = 77 | o = 36
pravokotnik [sirina = 17, visina = 1] | p = 17 | o = 36
pravokotnik [sirina = 10, visina = 8] | p = 80 | o = 36
pravokotnik [sirina = 7, visina = 11] | p = 77 | o = 36
pravokotnik [sirina = 2, visina = 16] | p = 32 | o = 36
pravokotnik [sirina = 11, visina = 7] | p = 77 | o = 36
pravokotnik [sirina = 15, visina = 3] | p = 45 | o = 36
pravokotnik [sirina = 15, visina = 3] | p = 45 | o = 36
pravokotnik [sirina = 8, visina = 11] | p = 88 | o = 38
pravokotnik [sirina = 8, visina = 11] | p = 88 | o = 38
pravokotnik [sirina = 1, visina = 18] | p = 18 | o = 38
pravokotnik [sirina = 7, visina = 13] | p = 91 | o = 40
pravokotnik [sirina = 5, visina = 15] | p = 75 | o = 40
pravokotnik [sirina = 2, visina = 18] | p = 36 | o = 40
pravokotnik [sirina = 1, visina = 19] | p = 19 | o = 40
pravokotnik [sirina = 12, visina = 9] | p = 108 | o = 42
pravokotnik [sirina = 10, visina = 11] | p = 110 | o = 42
pravokotnik [sirina = 18, visina = 3] | p = 54 | o = 42
pravokotnik [sirina = 17, visina = 4] | p = 68 | o = 42
pravokotnik [sirina = 9, visina = 12] | p = 108 | o = 42
pravokotnik [sirina = 18, visina = 3] | p = 54 | o = 42
pravokotnik [sirina = 15, visina = 7] | p = 105 | o = 44
pravokotnik [sirina = 18, visina = 4] | p = 72 | o = 44
pravokotnik [sirina = 7, visina = 15] | p = 105 | o = 44
pravokotnik [sirina = 14, visina = 8] | p = 112 | o = 44
pravokotnik [sirina = 16, visina = 6] | p = 96 | o = 44
pravokotnik [sirina = 6, visina = 16] | p = 96 | o = 44
pravokotnik [sirina = 16, visina = 6] | p = 96 | o = 44
pravokotnik [sirina = 19, visina = 3] | p = 57 | o = 44
pravokotnik [sirina = 20, visina = 2] | p = 40 | o = 44
pravokotnik [sirina = 3, visina = 20] | p = 60 | o = 46
pravokotnik [sirina = 14, visina = 9] | p = 126 | o = 46
pravokotnik [sirina = 3, visina = 20] | p = 60 | o = 46
pravokotnik [sirina = 10, visina = 13] | p = 130 | o = 46
pravokotnik [sirina = 4, visina = 20] | p = 80 | o = 48
pravokotnik [sirina = 16, visina = 8] | p = 128 | o = 48
pravokotnik [sirina = 12, visina = 12] | p = 144 | o = 48
pravokotnik [sirina = 19, visina = 5] | p = 95 | o = 48
pravokotnik [sirina = 6, visina = 18] | p = 108 | o = 48
pravokotnik [sirina = 13, visina = 11] | p = 143 | o = 48
pravokotnik [sirina = 16, visina = 8] | p = 128 | o = 48
pravokotnik [sirina = 17, visina = 7] | p = 119 | o = 48
pravokotnik [sirina = 9, visina = 15] | p = 135 | o = 48
pravokotnik [sirina = 9, visina = 15] | p = 135 | o = 48
pravokotnik [sirina = 11, visina = 14] | p = 154 | o = 50
pravokotnik [sirina = 17, visina = 8] | p = 136 | o = 50
pravokotnik [sirina = 17, visina = 8] | p = 136 | o = 50
pravokotnik [sirina = 14, visina = 12] | p = 168 | o = 52
pravokotnik [sirina = 14, visina = 12] | p = 168 | o = 52
pravokotnik [sirina = 12, visina = 14] | p = 168 | o = 52
pravokotnik [sirina = 12, visina = 14] | p = 168 | o = 52
pravokotnik [sirina = 14, visina = 12] | p = 168 | o = 52
pravokotnik [sirina = 19, visina = 7] | p = 133 | o = 52
pravokotnik [sirina = 15, visina = 12] | p = 180 | o = 54
pravokotnik [sirina = 15, visina = 12] | p = 180 | o = 54
pravokotnik [sirina = 17, visina = 10] | p = 170 | o = 54
pravokotnik [sirina = 7, visina = 20] | p = 140 | o = 54
pravokotnik [sirina = 10, visina = 17] | p = 170 | o = 54
pravokotnik [sirina = 15, visina = 12] | p = 180 | o = 54
pravokotnik [sirina = 18, visina = 9] | p = 162 | o = 54
pravokotnik [sirina = 19, visina = 8] | p = 152 | o = 54
pravokotnik [sirina = 14, visina = 13] | p = 182 | o = 54
pravokotnik [sirina = 14, visina = 13] | p = 182 | o = 54
pravokotnik [sirina = 7, visina = 20] | p = 140 | o = 54
pravokotnik [sirina = 20, visina = 7] | p = 140 | o = 54
pravokotnik [sirina = 15, visina = 12] | p = 180 | o = 54
pravokotnik [sirina = 16, visina = 12] | p = 192 | o = 56
pravokotnik [sirina = 20, visina = 8] | p = 160 | o = 56
pravokotnik [sirina = 12, visina = 16] | p = 192 | o = 56
pravokotnik [sirina = 12, visina = 16] | p = 192 | o = 56
pravokotnik [sirina = 10, visina = 18] | p = 180 | o = 56
pravokotnik [sirina = 17, visina = 12] | p = 204 | o = 58
pravokotnik [sirina = 16, visina = 13] | p = 208 | o = 58
pravokotnik [sirina = 10, visina = 19] | p = 190 | o = 58
pravokotnik [sirina = 11, visina = 18] | p = 198 | o = 58
pravokotnik [sirina = 17, visina = 12] | p = 204 | o = 58
pravokotnik [sirina = 16, visina = 13] | p = 208 | o = 58
pravokotnik [sirina = 13, visina = 17] | p = 221 | o = 60
pravokotnik [sirina = 12, visina = 18] | p = 216 | o = 60
pravokotnik [sirina = 12, visina = 18] | p = 216 | o = 60
pravokotnik [sirina = 12, visina = 18] | p = 216 | o = 60
pravokotnik [sirina = 18, visina = 13] | p = 234 | o = 62
pravokotnik [sirina = 12, visina = 19] | p = 228 | o = 62
pravokotnik [sirina = 11, visina = 20] | p = 220 | o = 62
pravokotnik [sirina = 11, visina = 20] | p = 220 | o = 62
pravokotnik [sirina = 12, visina = 19] | p = 228 | o = 62
pravokotnik [sirina = 19, visina = 13] | p = 247 | o = 64
pravokotnik [sirina = 12, visina = 20] | p = 240 | o = 64
pravokotnik [sirina = 14, visina = 19] | p = 266 | o = 66
pravokotnik [sirina = 16, visina = 17] | p = 272 | o = 66
pravokotnik [sirina = 19, visina = 14] | p = 266 | o = 66
pravokotnik [sirina = 15, visina = 19] | p = 285 | o = 68
pravokotnik [sirina = 18, visina = 16] | p = 288 | o = 68
pravokotnik [sirina = 17, visina = 18] | p = 306 | o = 70
pravokotnik [sirina = 18, visina = 17] | p = 306 | o = 70
pravokotnik [sirina = 18, visina = 17] | p = 306 | o = 70
